电影名,电影年份,上映时间,电影类型,电影时长,用户评分,语言,导演,作者,宣传标语,简介
阿甘正传,(1994),2020-08-25 (CN),"喜剧,剧情,爱情",2h 22m,85,英语,罗伯特·泽米吉斯,温斯顿·格鲁姆,人生就像一盒巧克力，你永远不知道下一块会是什么味道,透过被命运眷顾的单纯者阿甘的双眼，全景式展现了美国历史上动荡的三十年。
电锯人剧场版：蕾塞篇,(2025),2025-09-19 (JP),"动画,动作,爱情,奇幻",1h 40m,85,日语,吉原达矢,濑古浩司,活出你的人生本色……并让它精彩纷呈。,故事延续TV动画的最终章，讲述男主角电次在偶然邂逅的神秘少女蕾塞的庇护下，在快节奏的战斗中，奔向难以预测的命运。  电次，一个少年，与“电锯恶魔”签订契约，化身“电锯人”，成为隶属于公安部魔物对策特别课四课的魔物猎人，与魔物战斗。正兴奋地等待着与心仪的女性、公安部上司玛奇玛约会，却遭遇突如其来的暴雨，不得不在雨中避雨。在避雨的过程中，他邂逅了名为蕾塞的少女。在附近咖啡馆工作的蕾塞对电次露出了和善的笑容，两人迅速成为了好朋友。这次邂逅标志着电次的日常生活发生了重大改变。
每个人的每件事,(2019),2019-03-10 (US),纪录,1h 56m,85,英语,Ramez Silyan,Sebastian Jones,简介,从 Lil Peep卧室录制歌曲到全球巡回演出，以及他留下的巨大影响。
好家伙,(1990),1990-09-19 (US),"剧情,犯罪",2h 25m,85,英语,马丁·斯科塞斯,尼古拉斯·皮莱吉,在黑手党中度过的三十年人生。,本片根据真实故事改编，讲述了纽约黑手党血腥的江湖恩怨，把所谓的“江湖道义”还原为人性的丑陋与贪婪。
大卫·爱登堡：地球上的一段生命旅程,(2020),2020-09-28 (GB),"纪录,剧情",1h 23m,85,英语,Keith Scholey,艾雷斯泰·法瑟吉尔,简介,大卫·爱登堡讲述了他的一生以及地球上生命的进化史，以此来哀悼自然栖息地的消失，并表达了对未来的愿景。
七武士,(1954),1954-04-26 (JP),"动作,剧情",3h 27m,85,日语,黑泽明,桥本忍,在悬念和场面方面无与伦比！,这部影史最具震撼力的史诗巨制，讲述十六世纪某村庄的绝望村民雇佣七位武士抵御山贼侵袭的故事。黑泽明历时三个多小时的银幕征程，通过传奇演员三船敏郎与志村乔的演绎，将哲学沉思与娱乐观赏、细腻人情与激烈战斗完美交融，铸就这部关于勇气与希望的丰碑之作——其故事之丰饶、意境之深远，令人过目难忘。
切腹,(1962),1962-09-15 (JP),"动作,剧情,历史",2h 15m,84,-,小林正树,安彦滉,男人的尊严，男人的挣扎。,家族没落后，失业武士仲代达矢来到井伊藩主的宅邸，请求允许他在此切腹自尽。藩主家臣认定这名走投无路的浪人只是想讨份差事，遂逼迫他当场切腹——却低估了他坚守的信念与对尊严的执着。本片由小林正树执导，荣获戛纳电影节评委会特别奖，以凌厉笔触刻画了个体在腐朽伪善体制下的抗争。
萤火虫之墓,(1988),1988-04-16 (JP),"动画,剧情,战争",1h 29m,84,日语,高畑勋,,为何萤火虫的生命如此短暂？,在二战期间的日本，一对年幼的兄妹挣扎求生的故事。
美丽人生,(1997),1997-12-20 (IT),"喜剧,剧情",1h 56m,84,意大利语,罗伯托·贝尼尼,文森佐·塞拉米,最美丽的谎言。,犹太青年圭多（罗伯托·贝尼尼 Roberto Benigni 饰）邂逅美丽的女教师多拉（尼可莱塔·布拉斯基 Nicoletta Braschi 饰），他彬彬有礼的向多拉鞠躬：“早安！公主！”。历经诸多令人啼笑皆非的周折后，天遂人愿，两人幸福美满的生活在一起。然而好景不长，法西斯政权下，圭多和儿子被强行送往犹太人集中营。多拉虽没有犹太血统，毅然同行，与丈夫儿子分开关押在一个集中营里。聪明乐天的圭多哄骗儿子这只是一场游戏，奖品就是一辆大坦克，儿子快乐、天真的生活在纳粹的阴霾之中。尽管集中营的生活艰苦寂寞，圭多仍然带给他人很多快乐，他还趁机在纳粹的广播里问候妻子：“早安！公主！”法西斯政权即将倾覆，纳粹的集中营很快就要接受最后的清理，圭多编给儿子的游戏该怎么结束？他们一家能否平安的度过这黑暗的年代呢？
搏击俱乐部,(1999),1999-10-15 (US),"剧情,惊悚",2h 19m,84,英语,大卫·芬奇,恰克·帕拉尼克,搏击俱乐部的第一条规则是你不要谈论搏击俱乐部,杰克( 爱德华·诺顿 Edward Norton 饰)是一个充满中年危机意识的人，他非常憎恨自己的生活及一切，再加上他患有严重的失眠症，所以他常常参加各种团体咨询会，只为了能接触人群。在某一个团体咨询会上，杰克遇上了一个跟他同样理由来参加的女烟枪，玛拉(海伦娜·邦汉·卡特 Helena Bonham Carter  饰)，在莫名激素的影响下，杰克和玛拉一起逃离了咨询会，两人的情愫因而滋生…  一个偶然的机会，杰克遇到了卖肥皂的商人泰勒(布拉德·皮特 Brad Pitt 饰)，一个浑身充满叛逆、残酷和暴烈的痞子英雄，并因为自己公寓失火而住进了泰勒破旧不堪的家中。两人因缘际会地成为了好朋友，并创立了“搏击俱乐部”：一个让人们不戴护具而徒手搏击，宗旨在于发泄情绪的地下组织。
指环王1：护戒使者,(2001),2002-04-04 (CN),"冒险,奇幻,动作",3h 48m,84,英语,彼得·杰克逊,J.R.R.托尔金,至尊戒，驭众戒！,J.R.R.托尔金的文学巨著首次以电影形式磅礴呈现——这是一场正义对抗邪恶的史诗冒险，一段关于友谊力量与个人勇气的传奇，更是一次为人类纪元开辟道路的英雄征程。
天堂电影院,(1988),2019-06-15 (CN),"剧情,爱情",2h 4m,84,意大利语,朱塞佩·托纳多雷,瓦娜·波利,青春、友谊与电影永恒魅力的颂扬。,在意大利南部小镇姜卡尔多，童年的小多多不仅喜欢看电影，还喜欢看放映师艾弗达“剪”电影：在40年代的意大利小镇上，电影在放映之前都要经由牧师检查，把认为观众不宜的镜头（比如接吻戏）严格地剪掉之后，才可以放映。好心的艾佛特为了让更多的观众看到电影，搞了一次露天电影，结果胶片着火了，多多把艾弗达从火海中救了出来，但艾弗达双目失明。多多成了小镇唯一会放电影的人，他接替艾佛特成了小镇的电影放映师。多多渐渐长大，他爱上了银行家的女儿艾莲娜。初恋的纯洁情愫美如天堂，但是一对小情侣的海誓山盟被艾莲娜父亲的阻挠给隔断了，托托去服兵役，而艾莲娜去念大学。伤心的多多在艾佛达的鼓励下，离开小镇，追寻自己生命中的梦想……30年后，艾佛达去世，此时的多多已经是功成名就的导演，他回到了家乡参加艾弗达的葬礼。老放映员留给他一份礼物，原来是当初被镇上的检查员勒令剪掉的吻戏胶片。多多看着这些镜头，突然发现自己已经理解了生命中的一切。
上帝之城,(2002),2015-04-18 (CN),"剧情,犯罪",2h 9m,84,葡萄牙语,费尔南多·梅里尔斯,保罗·林斯,你若逃跑，野兽会抓住你；你若停留，野兽会吞噬你。,巴西里约热内卢的贫民窟，这里是“上帝之城”，更是魔鬼也会叹息着转身的地方。
人类,(2015),2015-09-12 (FR),纪录,3h 11m,84,法语,亚恩·阿蒂斯－贝特朗,,简介,"每个人背后都有一个足以撼动心灵的故事。法国知名的摄影师Yann Arthus-Bertrand就用了3年的时间，走访全球60个国家，让2,020位不同肤色、种族、性别的人，在镜头前诉说自己的故事。由乌克兰的自由战士、马里的农民，到美国的死囚，各人的故事集结成一部纪录片《人类》。纪录片中，受访者只站在纯黑色的背景中细诉自己的故事，没有花巧的剪接，甚至不多赘述受访者的身份。每个人自身的经历，足以为观众带来震撼。"
指环王2：双塔奇兵,(2002),2003-04-25 (CN),"冒险,奇幻,动作",3h 55m,84,英语,彼得·杰克逊,J.R.R.托尔金,一股新力量正在崛起！,在J.R.R.托尔金史诗三部曲的第二篇章中，护戒同盟队面对难以想象的敌军与诡谲阴谋，同时见证了远古奇迹与同胞未觉醒的力量。
惊魂记,(1960),1960-06-22 (US),"恐怖,惊悚,悬疑",1h 49m,84,英语,阿尔弗雷德·希区柯克,罗伯特·布洛克,一种全新的、截然不同的银幕刺激！,凤凰城一女秘书卷走客户四万美元公款，仓皇出逃途中入住一家偏僻汽车旅馆。旅馆经营者诺曼·贝茨是位受其母亲支配的年轻人。
蛊惑兄弟,(2000),2000-09-15 (BR),"喜剧,剧情,奇幻,爱情",1h 44m,84,葡萄牙语,Guel Arraes,Ariano Suassuna,Lying with faith is not always a sin.,智高和杰克，一对患难穷兄弟，四出寻找工作，最终在面包店找到差事。但店主极为刻薄，兄弟俩的食物比狗还要差。阴差阳错，他们弄死了店主的狗，更要哄骗神父替小狗祈福，闹出笑话连篇。及后智高暗恋大财主之女路仙霞。但智高过于害羞，久久未能成事；杰克唯有替智高制造机会。一日，镇里来了一班悍匪，洗劫村民之余，更进行杀戮游戏……
飞越疯人院,(1975),2026-04-16 (CN),剧情,2h 15m,84,英语,米洛斯·福尔曼,肯·克西,如果他疯了，那你怎么了？,在州立精神病院里休养总比蹲监狱强，对吧？兰德尔·P·麦克墨菲（杰克·尼科尔森 饰），一个血管里流淌着闪电、舌绽莲花的自由派骗子，装疯混进了他所谓的“疯子们”中间。很快，他那极具感染力的无序感便与麻木的例行程序发生冲撞。当世界大赛正酣时，这群被镇静剂泡透的家伙怎能披着浴袍拖沓度日？这意味着战争！一方是麦克墨菲，另一方则是轻声细语的拉契特护士（路易丝·弗莱彻 饰）——这位影史上最冷酷可怕的恶魔之一。而赌注，是整个病房每位患者的命运。
真爱留声,(2026),2026-06-20 (US),"爱情,喜剧",1h 59m,84,英语,Leah McKendrick,,Sometimes the universe leaves you a message.,年轻女子给已故姐姐发送的搞笑自白语音留言无意中被转给了陌生人，而这个陌生人竟隔着遥远的距离爱上了她。
妙不可言,(2021),2021-06-17 (MX),"家庭,剧情",1h 28m,84,西班牙语,Ernesto Contreras,Estéfani Enríquez Soto,There are encounters that change your life,生活是如此奇妙且难以预测，有时会在最不经意的地方发现幸福：一位七旬老妪和她的少年邻居之间产生了深厚的友谊。
声之形,(2016),2017-09-08 (CN),"动画,剧情,爱情",2h 10m,84,日语,山田尚子,吉田玲子,有时答案就是学会倾听，如此简单。,西宫硝子（早见沙织 配音）生来患有听觉障碍，要依靠助听器和外界交流，口语发音也因此格外的古怪。小学时，硝子转入了一所新的学校，特殊的生理缺陷让她成为了班上引人注目的独特存在，她因此收获了坚实的友情，却也遭到了以男生石田将也（入野自由 配音）为首的小团体的孤立和排挤。随着时 间的推移，无心或有意的恶作剧渐渐升级，最终演变成为了无法挽回的伤害，硝子永远的消失在了众人的眼前。排挤硝子的事情曝光后，将也成为了下一个被欺负的对象，孤独痛苦的他终于理解了硝子的隐忍和温柔，只是他再也没有机会跟硝子道歉了。一次偶然中，将也同硝子重逢了，命运的齿轮重新开始了转动。
蜘蛛侠：平行宇宙,(2018),2018-12-21 (CN),"动画,动作,冒险,科幻",1h 56m,84,英语,罗德尼·罗斯曼,菲尔·洛德,任何人都可以成为英雄。,《乐高大电影》和《龙虎少年队》的创作灵魂菲尔·罗德与克里斯托弗·米勒，将他们独特的才华注入一个全新的蜘蛛侠宇宙，开创了前所未见的突破性视觉风格。本片讲述了布鲁克林少年迈尔斯·莫拉莱斯（沙梅克·摩尔 配音）的冒险故事，并揭开了蜘蛛宇宙的无限可能——在那里，能够戴上英雄面具的远不止一人。[索尼影业]
素媛,(2013),2013-10-02 (KR),剧情,2h 2m,84,朝鲜语,李濬益,曹重勋,在最痛的地方，开出最美的花,她是一个美丽平凡的小女孩，和爸爸妈妈生活在位于街角的家中。家里经营着以她的名字素媛命名的杂货店，母亲作为老板娘日夜忙碌不得闲暇，父亲则在工厂干着繁重的工作。在那个飘雨的早上，素媛打着雨伞独自上学。在离学校近在咫尺的地方，她遭遇一个相貌猥琐、酒气冲天的大叔，由此开启了她的悲剧之旅。柔嫩的小花遭到暴风雨无情摧残，受伤的岂止枝枝叶叶，更是那迎着阳光无忧成长的心。无良媒体铺天盖地大肆渲染，作为受害者的素媛一家仿佛成了周身污秽的耻辱之人，被四周诧异好奇的目光所包围。妈妈悲痛欲绝，几近崩溃。爸爸全力保护女儿，但受伤的小天使却拒绝爸爸的靠近。问凶之路伴随着天使的治愈旅程，美丽的女孩可会再露灿烂笑容？
星球大战5：帝国反击战,(1980),1980-05-21 (US),"冒险,动作,科幻",2h 4m,84,英语,厄文·克什纳,利·布拉克特,冒险在继续……,星球大战事件三年后，帝国军队继续追捕义军。义军在霍斯冰原星球战败后，卢克前往达戈巴星球，跟随自共和国覆灭后隐居的绝地大师尤达进行训练。为诱使卢克堕入黑暗面，达斯·维达将年轻的天行者引入贝斯平云城的陷阱。在与西斯尊主的激烈光剑对决中，卢克面对一个惊人的真相。[20世纪福克斯]
哈尔的移动城堡,(2004),2004-04-24 (CN),"奇幻,动画,冒险",1h 59m,84,日语,宫崎骏,戴安娜·温尼·琼斯,带着心爱的人在天空飞翔。,18岁少女苏菲在街上遇到神秘青年霍尔，霍尔忽然抱起苏菲一同飞上天空，苏菲的心从此深深地被霍尔吸引。然而那天晚上，苏菲被名叫荒地魔女的女巫施了魔法，外表变成了90岁的老婆婆。心灰意冷的苏菲只好整理行李，远离人群，前往霍尔在荒郊野外的城堡……
加百列的地狱,(2020),2020-05-29 (US),"爱情,剧情",2h 2m,84,英语,托斯卡·马斯克,Sylvain Reynard,简介,一个迷人的探索诱惑，禁止的爱，和救赎，一个迷人和激情的故事，一个人从他自己的地狱，因为他试图赢得不可能的宽恕和爱。
七宗罪,(1995),1995-09-22 (CN),"犯罪,悬疑,惊悚",2h 7m,84,英语,大卫·芬奇,安德鲁·凯文·沃克,每一桩命案，都对应一种原罪。,“暴食”、“贪婪”、“懒惰”、“嫉妒”、“骄傲”、“淫欲”、“愤怒”，这是天主教教义所指的人性七宗罪。城市中发生的连坏杀人案，死者恰好都是犯有这些教义的人。凶手故弄玄虚的作案手法，令资深冷静的警员沙摩塞（摩根•弗里曼 Morgan Freeman 饰）和血气方刚的新扎警员米尔斯（布拉德•皮特 Brad Pitt 饰）都陷入了破案的谜团中。他们去图书馆研读但丁的《神曲》，企图从人间地狱的描绘中找到线索，最后从宗教文学哲学的世界中找到了凶手作案计划和手段的蛛丝马迹。凶手前来投案自首，这令众人都松了一口气，以为案件就此结束，怎料还是逃不出七宗罪的杀人逻辑，这次凶手瞄准的目标，是那个犯了“愤怒”罪的人……
美国往事,(1984),2015-04-23 (CN),"剧情,犯罪",3h 49m,84,英语,赛尔乔·莱昂内,哈里·格雷,犯罪、激情与权力欲望。,二十年代的美国，纽约少年“面条”和几个同龄朋友一起认识了聪明狡黠的“麦克斯”，他们开始从事走私活动。不久，面条在一场械斗中杀伤人命，被关进监牢。若干年后，“面条”出狱，当时的小伙伴们已经变成了健壮的青年人，在“麦克斯”的带领下，他们开始了一系列抢劫、盗窃、敲诈活动。随着犯罪活动的不断深入， “麦克斯”似乎被胜利冲昏了头脑，竟然把美国联邦储备银行也列入了行动目标。“面条”不忍眼看好友走向毁灭，偷偷打电话报警，想逼迫“麦克斯”收手。警察与 “面条”的朋友展开激烈枪战，“麦克斯”等人全部被杀。“面条”带着深深的悔恨和痛苦，离开纽约，回到年少时生长的地方。三十五年过去了，几近垂暮的“面条”重新回到纽约的伤心地，他遇见了少时的朋友和旧情人，而当年“麦克斯”他们的死，背后竟然包含着出乎意料的阴谋。
